User ID,Recommendations
sonambajwa,Cinema & Actors/actresses
rafakalimann,Modeling
pablogavi,Sports with a ball
therock,"Cinema & Actors/actresses,Fitness & Gym"
zachking,"Shows,Humor & Fun & Happiness"
krisjenner,"Shows,Beauty"
spacex,"Science,Machinery & Technologies"
anupamaparameswaran96,Cinema & Actors/actresses
soyneiva,Adult content
soycintiacossio,"Modeling,Adult content"
lanarhoades,"Lifestyle,Modeling"
antogriezmann,Sports with a ball
voguemagazine,"Literature & Journalism,Fashion"
demetozdemir,Cinema & Actors/actresses
yuzi_chahal23,"Lifestyle,Sports with a ball"
manurios,Shows
luisitocomunica,"Humor & Fun & Happiness,Clothing & Outfits"
jacobelordi,Cinema & Actors/actresses
avengers,Cinema & Actors/actresses
cocielo,Cinema & Actors/actresses
hrithikroshan,Cinema & Actors/actresses
bernardokath,"Beauty,Cinema & Actors/actresses"
lilyrose_depp,Modeling
netflixbrasil,"Shows,Cinema & Actors/actresses"
hadise,Shows
realmadrid,Sports with a ball
mathildtantot,"Lifestyle,Modeling"
kyrieirving,Sports with a ball
kingjames,Sports with a ball
syifahadjureal,Modeling
jacksepticeye,"Computers & Gadgets,Machinery & Technologies"
snoopdogg,Lifestyle
nayeonyny,Lifestyle
kritisanon,Modeling
hugogloss,"Literature & Journalism,Humor & Fun & Happiness"
donya,Lifestyle
luisasonza,Lifestyle
willsmith,Cinema & Actors/actresses
jackharlow,"Lifestyle,Humor & Fun & Happiness"
nadin_serovski,"Family,Lifestyle"
sunnyleone,"Beauty,Cinema & Actors/actresses"
ranveersingh,"Cinema & Actors/actresses,Modeling"
rohitsharma45,"Sports with a ball,Lifestyle"
reynmen,Cinema & Actors/actresses
khaby00,Sports with a ball
michelleobama,"Finance & Economics,Business & Careers"
mrbeast,"Shows,Humor & Fun & Happiness"
rafaelnadal,Sports with a ball
zendaya,"Cinema & Actors/actresses,Fashion"
rogerfederer,Sports with a ball
vousmevoyez,Cinema & Actors/actresses
kunaguero,Sports with a ball
channingtatum,Cinema & Actors/actresses
kajalaggarwalofficial,Cinema & Actors/actresses
awez_darbar,"Shows,Cinema & Actors/actresses"
karelyruiz,Lifestyle
kareenakapoorkhan,"Family,Cinema & Actors/actresses"
shahinsamadpoor,"Literature & Journalism,Cinema & Actors/actresses"
actorprabhas,"Shows,Cinema & Actors/actresses"
tomholland2013,Cinema & Actors/actresses
cnn,"Shows,Literature & Journalism"
sadiesink_,"Modeling,Lifestyle"
achrafhakimi,Sports with a ball
jamesrodriguez10,Sports with a ball
mingue.k,Lifestyle
tiffanyyoungofficial,"Modeling,Fashion"
dukeandduchessofcambridge,"Family,Finance & Economics"
canelo,Fitness & Gym
jakepaul,Cinema & Actors/actresses
anastasiya_kvitko,"Lifestyle,Modeling"
cobratate,"Lifestyle,Racing Sports"
kendalljenner,"Modeling,Fashion"
lakers,Sports with a ball
alluarjunonline,Cinema & Actors/actresses
juanpazurita,Cinema & Actors/actresses
frenkiedejong,Sports with a ball
ninja,"Computers & Gadgets,Machinery & Technologies"
liverpoolfc,Sports with a ball
piawurtzbach,"Beauty,Modeling"
ho5hi_kwon,Lifestyle
sophiedee,Adult content
emrata,Modeling
liamhemsworth,Cinema & Actors/actresses
lance210,"Cinema & Actors/actresses,Humor & Fun & Happiness"
virgilvandijk,Sports with a ball
ridwankamil,"Literature & Journalism,Business & Careers"
kiaraaliaadvani,Cinema & Actors/actresses
tovinothomas,Cinema & Actors/actresses
romanreigns,Lifestyle
miakhalifa,"Fitness & Gym,Lifestyle"
actorsuriya,Cinema & Actors/actresses
yasminabdelaziz_,Cinema & Actors/actresses
becaa_barreto,Lifestyle
leaelui,"Modeling,Lifestyle"
marimaria,Beauty
tommyinnit,"Shows,Cinema & Actors/actresses"
d_degeaofficial,Sports with a ball
maitreyiramakrishnan,"Photography,Cinema & Actors/actresses"
kimkardashian,"Fashion,Beauty"
tatawerneck,"Cinema & Actors/actresses,Family"
perrieedwards,Modeling
leomessi,"Sports with a ball,Family"
houseofhighlights,Sports with a ball
jenniferwinget1,Cinema & Actors/actresses
actor_jg,Cinema & Actors/actresses
l7nnon,Lifestyle
adamsandler,Cinema & Actors/actresses
mancity,Sports with a ball
yefersoncossio,Lifestyle
hegdepooja,Cinema & Actors/actresses
paulwalker,Cinema & Actors/actresses
t22felton,Cinema & Actors/actresses
andressasuita,Modeling
indiancricketteam,Sports with a ball
lacikaysomers,Modeling
thenameisyash,Cinema & Actors/actresses
harshasai_,Shows
ms_puiyi,Adult content
larissamanoela,Cinema & Actors/actresses
sinavaliollah,Shows
shaq,"Humor & Fun & Happiness,Sports with a ball"
miguel.g.herran,Cinema & Actors/actresses
geneliad,Cinema & Actors/actresses
ananyapanday,Cinema & Actors/actresses
alidaei,Sports with a ball
aliiiiiiiikarimi8,Sports with a ball
virat.kohli,Sports with a ball
lewishamilton,Racing Sports
rubyrose,Modeling
wi__wi__wi,Lifestyle
alfinetei,Humor & Fun & Happiness
soueunavida,Humor & Fun & Happiness
gatenm123,"Cinema & Actors/actresses,Fashion"
abdevilliers17,"Sports with a ball,Lifestyle"
porsche,Cars & Motorbikes
gianlucavacchi,Lifestyle
rachel_mypark,Cinema & Actors/actresses
nidhhiagerwal,"Cinema & Actors/actresses,Modeling"
chaelincl,"Fashion,Modeling"
k.mbappe,Sports with a ball
kimberly.loaiza,"Clothing & Outfits,Lifestyle"
